Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DES_CLAV,RANGO_MA,MUESTRA,ESTADO,LONG_,LAT,TIPO_ROCA,ROCA,METODO,MINERAL,EDAD_MA,ERROR,TIPO_EDAD,HEREDADOS,REFERENCIA,UNIDAD,LOC_TIPO,OBSERVA,PDF,CARTA50,CARTA250,TABLACRONO
,,,,,,"-1","0","-1",,,Mesoproterozoico,1000 - 1600,RP 19,Guanajuato,-101.244357,20.433306,,Faersundita,U-Pb,Circón,"1063.2",1.1,,,"Ortega-Gutiérrez et al., 2014",,Rincon del Parangueo,Coordenadas estimadas.,,VALLE DE SANTIAGO F14-C73,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,Mx 88-43,Guanajuato,-100.44,20.09,Volcánica,Riolita,K-Ar,Sanidino,"5.45",0.5,,,"Pasquaré et al., 1991",,Querétaro-San Juan del Río,,,PRESA SOLIS F14-C85,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,PMV2215E,Puebla,-97.512237,18.424722,Volcánica,Piroclástica,Th-U,Depósito piroclástico,"59.1",3.1,Edad de depósito post-caldera,,"Sourisseau et al., 2020",,,Edad de isócrona/Coordenadas estimadas,,TEHUACAN E14-B75,ORIZABA E14-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,PMV3314D,Puebla,-97.512237,18.424722,Volcánica,Piroclástica,Th-U,Depósito piroclástico,"44.7",3.2,Edad de depósito post-caldera,,"Sourisseau et al., 2020",,,Edad de isócrona/Coordenadas estimadas,,TEHUACAN E14-B75,ORIZABA E14-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,ME 62,Puebla,-98.083336,20.166666,Volcánica,Basalto transicional,K-Ar,Roca total,"5.95",0.25,,,"Cantagrel y Robin, 1979",,SE de Hidalgo,,,HUACHINANGO F14-D83,PACHUCA F14-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,CHP 636b,Jalisco,-103.570404,20.350599,Volcánica,Dacita,K-Ar,Roca total,"0.97",0,,,"Venegas y Ruy, 1981",,San Marcos,,,JOCOTEPEC F13-D75,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,"139",Jalisco,-103.084294,20.663413,Volcánica,Ignimbrita dacítica,K-Ar,Vidrio,"2.4",0.5,Edad de enfriamiento,,"Solé et al., 2007",,,,,GUADALAJARA ESTE F13-D66,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Carbonífero-Mississippiano,323.2 - 358.9,GSS 7,Puebla,-98.333063,18.536947,Metamórfica,Esquisto de granate y mica,Ar-Ar,Moscovita,"337",2,Edad de enfriamiento,,"Keppie et al., 2010",Unidad Las Minas,,,,COATZINGO E14-B63,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Carbonífero-Mississippiano,323.2 - 358.9,Ix 46,Puebla,-98.68223,18.036391,Metamórfica,Esquisto grafítico,Ar-Ar,Moscovita,"325",2,Edad de enfriamiento,,"Ramos-Arias et al., 2011",Unidad Chicomalá,"~1.6 km al NE de 
Ixcamilpa, sobre el camino",,,TEMALAC E14-B81,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,CH-18,Puebla,-98.582049,18.330266,Plutónica,Granodiorita,Ar-Ar,Biotita,"30.9",0.3,Formación de la roca/Edad de isocrona,,"Cerca et al., 2007",No definida,Chiautla,,,CHIAUTLA E14-B72,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,SL-37,Sonora,-110.875987,28.704524,Plutónica,Granodiorita,Ar-Ar,Biotita,"60.7",0.1,Edad de enfriamiento,,"Wong et al., 2010",,Sierra Libre,Se estima una edad de cristalización de ~70 Ma para este plutón,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,REPRESITO DE LUJAN H12-D61,SIERRA LIBRE H12-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,PBLG1,San Luis Potosí,-101.799397,22.615611,Volcánica,Basalto,Ar-Ar,Roca total,"82.9",0.6,Edad de enfriamiento,,"Bartolini, 1998",,Sierra Salinas,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,SALINAS DE HIDALGO F14-A61,SAN LUIS POTOSI F14-4,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Plioceno,2.58 - 5.333,Am-1,Michoacán de Ocampo,-100.303113,20.134784,Volcánica,Toba,K-Ar,Feldespato,"4.54",0.28,,,"Aguirre-Díaz y McDowell, 1999",Toba Amealco,,Roca inferida por unidad,,AMEALCO F14-C86,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Turoniano,89.8 - 93.9,"511",Baja California,-116.132662,31.685626,Plutónica,Cuarzodiorita,K-Ar,Biotita,"92.1",2.8,Edad de enfriamiento,,"Gastil et al., 1975",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,EL ZACATON H11-B23,ENSENADA H11-2,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,MB-99,Chihuahua,-103.793022,29.198748,Plutónica,Gabro-diorita,Ar-Ar,Plagioclasa,"32.56",0.08,Edad de enfriamiento,,"Iriondo et al., 2004",,,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaChihuahua.pdf,MANUEL BENAVIDES H13-D44,MANUEL BENAVIDES H13-9,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,JOR-756,Michoacán de Ocampo,-101.719417,18.961528,Volcánica,Traquiandesita basaltica,Ar-Ar,Roca total,"0.81",0.01,Edad de enfriamiento,,"Guilbaud et al., 2011",Lavas Cuaternarias,Mata de Plátano,,,LA HUACANA E14-A51,CIUDAD ALTAMIRANO E14-4,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,"191",Tamaulipas,-98.226686,23.03104,Volcánica,Latita,K-Ar,Roca total,"23",1,Edad de enfriamiento,,"Camacho-Angulo, 1987",,Sierra de Tamaulipas,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,LA CONCEPCION F14-B43,CIUDAD VICTORIA F14-2,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Plioceno,2.58 - 5.333,Am 84,Guanajuato,-100.450338,20.170615,Volcánica,Ignimbrita,K-Ar,Feldespato,"4.7",0.19,,,"Aguirre-Díaz, 1997",,W de la Caldera de Amealco,,,PRESA SOLIS F14-C85,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Pérmico-Cisuraliano,272.3 - 298.9,TEP-474-3,Puebla,-97.828611,18.052778,Metamórfica,Metapsamita,U-Pb,Circón,"281 ± 2; 269 ± 2",0,Edad máxima de depósito/Edad promedio,"281, 690, 895, 977, 998, 1140","Helbig et al., 2012",Litodema Chazumba,,,,PETLALCINGO E14-B84,ORIZABA E14-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,ZHG/JRE-90,Jalisco,-103.9,20.31,Volcánica,Ignimbrita,Ar-Ar,Biotita,"77",3,Edad de enfriamiento,,"Rosas-Elguera  et al., 1997",,,,,COCULA F13-D74,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,AC-144,Puebla,-98.045,19.966667,Volcánica,Toba riolítica,Ar-Ar,Sanidino,"1.26",0.05,,,"López-Hernández, 2009",Toba Atexca,,,,CHIGNAUAPAN E14-B13,CIUDAD DE MEXICO E14-2,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,MS 102,Jalisco,-103.750408,20.3306,Volcánica,Basalto,K-Ar,Roca total,"9",1,,,CFE 1980,,Atotonilco,,,COCULA F13-D74,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Triásico Medio,237 - 247.2,Benemerito,Nuevo León,-99.8622,25.679419,Plutonica,Granito,U-Pb,Zircón,"247",4.2,Edad de cristalización,,"Coombs et. al., 2019 (En Villagómez et. al., 2019)",,Sierra de Picachos,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,SAN JUAN G14-C27,RIO BRAVO G14-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Carbonífero-Mississippiano,323.2 - 358.9,Ix 42,Puebla,-98.793897,18.023891,Metamórfica,Milonita,Ar-Ar,Muscovita,"335",2,Edad de metamorfismo (milonitización),,"Ramos-Arias et al., 2011","Zona de cabalgadura
Encinera","3 km al NW del pueblo 
de Tlanipatla sobre la barranca Grande",,,TEMALAC E14-B81,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,PR 12 N2,Jalisco,-103.530404,20.640585,Volcánica,Andesita,K-Ar,Roca total,"51",2.5,,Feld,"Ferrari et al., 2000",,"La Primavera pozo, 2300 m.",,,GUADALAJARA OESTE F13-D65,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,M48,Sonora,-110.87673,28.125929,Volcánica,Riolita,K-Ar,Plagioclasa,"11.5",0.6,Edad de enfriamiento,,"Mora-Álvarez y McDowell, 2000",Unidad La Ventana,Sierra Santa Úrsula,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,JOSE MA. MORELOS Y PAVON H12-D81,SIERRA LIBRE H12-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,ND,Jalisco,-103.564286,20.72398,Volcánica,Lavas del Arco Sureste: Vidrio,K-Ar,ND,"31.9",0,,,"Nichols, 1970",Faja Volcánica Trans-Mexicana,La Primavera,Coordenadas estimadas.,,GUADALAJARA OESTE F13-D65,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,SLP17-16,San Luis Potosí,-101.08638889,21.8127778,Volcánica,Riolita,Ar/Ar,Sanidino,"24.15",0.82,Edad de cristalización,,"Torres-Sánchez et al., 2020",Panalillo,Sierra de San Miguelito,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,SAN FRANCISCO F14-C13,GUANAJUATO F14-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Ordovícico Inferior,470 - 485.4,IX-18.,Puebla,-98.549942,18.0246539,Metamórfica,Esquisto,U-Pb,Zircones detríticos,"477",0,Edad máxima de depósito,"1821, 1128, 946, 708, 603","Talavera-Mendoza et al., 2005",Fm. Xayacatlán,,,,TULCINGO E14-B82,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Maastrichtiano,66 - 72.1,MV-11,Sonora,-110.757098,28.858155,Plutónica,Granito,Ar-Ar,Hornblenda,"68.77",1.14,Edad de enfriamiento,,"Valencia-Moreno et al., 2006",Granito Hermita,39 Km E-SE de Hermosillo,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,TORRES H12-D51,SIERRA LIBRE H12-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,Pab 180-01,Jalisco,-101.786867,21.351975,Volcánica,Ignimbrita,U-Pb,Circón,"23.4",0.2,Edad de cristalización,,Botero-Santa (2011),,,Coordenadas estimadas,,LAGOS DE MORENO F14-C31,GUANAJUATO F14-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,SO-63,Sonora,-110.242241,28.403832,Plutónica,Granodiorita,K-Ar,Muscovita,"57.6",0.9,Edad de enfriamiento,,"Roldán-Quintana et al., 2009",Batolito Laramide de Sonora,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,AGUA FRIA H12-D73,SIERRA LIBRE H12-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,"311",Jalisco,-104.805681,20.828896,Plutónica,Diorita,K-Ar,Plagioclasa,"44.69",2.2,,,"Lange y Carmichael, 1991",,San Sebastian,Coordenadas estimadas.,,SAN FELIPE DE HIJAR F13-D51,PUERTO VALLARTA F13-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Cenomaniano,93.9 - 100.5,"28715",,-115.214008,28.133542,Metamórfica,Esquisto azul grano grueso,Ar-Ar,Mica blanca,94-114,0,Perdida de Ar,,"Baldwin y Harrison, 1989",,Isla Cedros,,,SIN NOMBRE H11-D86,ISLA CEDROS H11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Inferior-Albiano,100.5 - 113,BC1-411,Baja California,-116.334895,32.500042,Plutónica,Cuarzodiorita,K-Ar,Biotita,"104.5",0.7,Edad de enfriamiento,,"Krummenacher et al., 1975",Cinturón Batolítico Peninsular,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,TECATE I11-D62,TIJUANA I11-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,C14,Chiapas,-93.533056,17.029444,,,FT,Apatito,"16.5",2.1,Edad de enfriamiento del área fuente,,"Witt et al., 2012",,,Unidad del Paleoceno,,RAUDALES E15-C48,VILLAHERMOSA E15-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Turoniano,89.8 - 93.9,SSPM-VO-15,Baja California,-115.473685,31.03282,ND,ND,Ar-Ar,Biotita,"90.8",0.9,Edad de enfriamiento,,"Ortega-Rivera et al., 1997",,Sierra San Pedro Mártir,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SAN RAFAEL H11-B45,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Plioceno,2.58 - 5.333,SB11_89B,Baja California,-113.865278,28.651869,Volcánica,Andesita basáltica,Ar-Ar,Roca total,"3.58",0.12,Edad de enfriamiento,,"Negrete-Aranda et al., 2010",Campo Volcánico San Borja,Mesa Compostela,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SAN BORJA H12-C61,ISLA SAN ESTEBAN H12-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,CAT-04-05,Baja California,-114.712468,29.728206,Plutónica,Granodiorita foliada,FT,Apatito,"61",3,Edad de enfriamiento,,"Ramos-Velázquez, 2011",,Cataviña-Bahía de San Luis Gonzaga,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SAN SIMON H11-D27,PUNTA SAN ANTONIO H11-9,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,"567",Baja California,-115.442367,31.310921,Plutónica,Granodiorita aplítica,K-Ar,Biotita,"79.2",2,Edad de enfriamiento,,"Gastil et al., 1975",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,FCO. R. SERRANO H11-B35,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,B9E-2,Baja California,-115.442367,31.310921,Plutónica,Granodiorita aplítica,K-Ar,Biotita,"79.2",1,Edad de enfriamiento,,"Krummenacher et al., 1975",Cinturón Batolítico Peninsular,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,FCO. R. SERRANO H11-B35,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,59_EL-TOPO-7-30-1,Baja California,-115.951131,32.336187,Plutónica,ND,Ar-Ar,Biotita,"82.6",0.6,Edad de enfriamiento,,"Ortega-Rivera, 2003",Plutón El Topo,,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,LA PODEROSA I11-D74,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Jurásico Superior-Titoniano,145 - 152.1,Campo Nuevo,Baja California Sur,-114.171093,27.30983,Volcánica,Toba,Ar-Ar,Hornblenda,"151",2,Edad de enfriamiento,,"Kimbrough y Moore, 2003",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SIERRA CAMPO NUEVO G11-B39,GUERRERO NEGRO G11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,2-II-95,Baja California,-113.123689,28.390208,Volcánica,Toba lítica,K-Ar,Hornblenda,"16.3",1,Edad de enfriamiento,,"Delgado-Argote, 2000",,Bahía San Rafael,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,EL PROGRESO H12-C73,ISLA SAN ESTEBAN H12-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,MX96-003,Baja California,-115.436263,32.262833,Plutónica,Granodiorita,FT,Apatito,"5.5",0.9,Edad de enfriamiento,,"Axen et al., 2000",Domo Monte Blanco,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SIERRA CUCAPA I11-D75,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,"550",Baja California,-115.650707,31.616743,Piroclástica,Flujo de ceniza,K-Ar,Biotita,"10",0.5,Edad de enfriamiento,,"Gastil et al., 1979",,"Sierra Juárez, Tinaja Pinta y Cucapá",,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,AGUA CALIENTE H11-B25,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Inferior-Barremiano,125 - 129.4,SJ329,Baja California,-115.689167,31.057222,Plutónica,Sill o flujo,U-Pb,Circón,"127.9",1.2,Edad de cristalización,~147,"Johnson et al., 1999",,Sierra San Pedro Mártir,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,POTREROS H11-B44,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Turoniano,89.8 - 93.9,69_G.C.-7-28-88-5,Baja California,-113.097863,28.297384,Plutónica,ND,Ar-Ar,Biotita,"89.9",0.8,Edad de enfriamiento,,"Ortega-Rivera, 2003",,,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,EL PROGRESO H12-C73,ISLA SAN ESTEBAN H12-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,"905",Baja California,-115.98072,32.369493,Plutónica,Tonalita,K-Ar,Biotita,"77.7",2,Edad de enfriamiento,,"Gastil et al., 1976",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,LA PODEROSA I11-D74,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Coniaciano,86.3 - 89.8,63_LJ-M2,Baja California,-115.917512,32.091747,Plutónica,ND,Ar-Ar,Muscovita,"86.7",0.8,Edad de enfriamiento,,"Ortega-Rivera, 2003",Plutón Laguna Juárez,,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,ARROYO DE SAUZ I11-D84,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,LC0306,Baja California Sur,-110.198257,24.009442,Sedimentaria,Arenisca,U-Pb,Circón,42?,1,Edad máxima de depósito,"43-111, 136-138, 267, 404, 1569","Fletcher et al., 2007",,Bloque Los Cabos (oeste),,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,LA PAZ G12-D83,LA PAZ G12-10-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,BA06-004,Baja California,-113.745,29.367,Plutónica,Tonalita Hbl-Bt,FT,Apatito,"32.4",0,Edad de enfriamiento,,"Seiler et al., 2009",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,VALLE LAGUNA SECA H12-C31,ISLA ANGEL DE LA GUARDA H12-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,"519",Baja California,-115.124858,31.011767,Volcánica,Lamprófido,K-Ar,Biotita,"80.9",2.5,Edad de enfriamiento,,"Gastil et al., 1975",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SANTA CLARA H11-B46,SAN FELIPE H11-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,"238",Baja California Sur,-110.264031,24.151644,Volcánica,Toba riolítica,K-Ar,Plagioclasa,"23.2",1.6,Edad de enfriamiento,,"Hausback, 1984",Fm. Comondú,La Paz,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,LA PAZ G12-D83,LA PAZ G12-10-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,"882",Baja California,-115.894886,32.559209,Plutónica,Tonalita,K-Ar,Biotita,"72.5",2,Edad de enfriamiento,,"Gastil et al., 1976",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,EL CENTINELA I11-D64,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,B2G-121,Baja California,-115.241535,32.018398,Plutónica,Granodiorita,K-Ar,Feldespato K,"75.9",0.5,Edad de enfriamiento,,"Krummenacher et al., 1975",Cinturón Batolítico Peninsular,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,PLAN DE AYALA I11-D86,MEXICALI I11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,"45",Baja California Sur,-110.274587,24.156921,Volcánica,Toba riolítica,K-Ar,Plagioclasa,"18",0.6,Edad de enfriamiento,,"Hausback, 1984",Fm. Comondú (toba Coromuel),La Paz,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,LA PAZ G12-D83,LA PAZ G12-10-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
